               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  76,            0.061767,             0.15011,            0.038847,             0.37965,               0.303,             0.24481,             0.13463,            0.059229,            0.080187,            0.030277,            0.002575,            0.002575,            0.002575
                  77,            0.061596,             0.14941,            0.039174,             0.38227,             0.30489,              0.2458,             0.13512,            0.059182,            0.080144,             0.03023,            0.002476,            0.002476,            0.002476
                  78,            0.061461,             0.14985,            0.038883,             0.38181,             0.30612,              0.2465,              0.1359,            0.059142,            0.080128,            0.030191,            0.002377,            0.002377,            0.002377
                  79,            0.061253,             0.14891,            0.038999,             0.38382,             0.30717,             0.24785,             0.13622,            0.059103,            0.080107,            0.030137,            0.002278,            0.002278,            0.002278
                  80,            0.061027,             0.14817,            0.038588,             0.38458,             0.30709,             0.24847,             0.13706,            0.059055,            0.080088,            0.030091,            0.002179,            0.002179,            0.002179
                  81,            0.060749,             0.14816,            0.038082,             0.38478,             0.30828,              0.2488,             0.13736,            0.059011,             0.08008,            0.030044,             0.00208,             0.00208,             0.00208
                  82,            0.061189,             0.14737,            0.038079,             0.38408,             0.30775,             0.24944,             0.13775,            0.058973,            0.080068,            0.030016,            0.001981,            0.001981,            0.001981
                  83,            0.061016,             0.14857,            0.038253,             0.38752,             0.30791,             0.25006,              0.1384,             0.05893,            0.080051,            0.029979,            0.001882,            0.001882,            0.001882
                  84,             0.06089,             0.14819,            0.038258,              0.3861,             0.30911,             0.25077,             0.13914,            0.058899,             0.08004,            0.029959,            0.001783,            0.001783,            0.001783
                  85,            0.060393,             0.14787,            0.037834,             0.38619,             0.30929,             0.25099,             0.13918,            0.058866,            0.080018,            0.029932,            0.001684,            0.001684,            0.001684
                  86,            0.060171,             0.14705,             0.03769,             0.38539,             0.31036,             0.25151,              0.1397,            0.058839,            0.080015,            0.029907,            0.001585,            0.001585,            0.001585
                  87,            0.059984,             0.14616,            0.037439,             0.39266,             0.30838,             0.25202,             0.13975,            0.058815,            0.080004,            0.029873,            0.001486,            0.001486,            0.001486
                  88,             0.05958,             0.14588,             0.03729,             0.39162,             0.30998,             0.25251,             0.14017,             0.05879,                0.08,            0.029848,            0.001387,            0.001387,            0.001387
                  89,            0.059587,             0.14741,            0.036779,             0.39312,             0.31332,             0.25307,             0.14037,            0.058766,            0.079989,            0.029818,            0.001288,            0.001288,            0.001288
                  90,            0.059338,             0.14719,            0.036749,             0.39409,              0.3138,              0.2537,             0.14089,             0.05874,            0.079975,            0.029801,            0.001189,            0.001189,            0.001189
                  91,            0.059245,             0.14537,            0.036845,             0.39511,             0.31441,             0.25419,             0.14153,            0.058713,             0.07996,            0.029768,             0.00109,             0.00109,             0.00109
                  92,            0.059527,             0.14591,            0.036757,             0.39631,             0.31575,              0.2548,             0.14194,            0.058687,            0.079952,            0.029726,            0.000991,            0.000991,            0.000991
                  93,            0.059033,             0.14591,            0.036536,             0.39779,             0.31531,             0.25498,             0.14224,            0.058662,            0.079936,             0.02969,            0.000892,            0.000892,            0.000892
                  94,            0.058743,             0.14497,            0.036384,              0.3995,             0.31549,             0.25535,              0.1427,             0.05864,            0.079921,            0.029661,            0.000793,            0.000793,            0.000793
                  95,            0.058234,             0.14437,            0.036081,             0.40008,              0.3153,             0.25581,             0.14293,            0.058617,            0.079914,            0.029627,            0.000694,            0.000694,            0.000694
                  96,             0.05858,             0.14467,             0.03592,             0.35045,             0.31751,             0.25628,             0.14333,            0.058597,            0.079908,            0.029598,            0.000595,            0.000595,            0.000595
                  97,            0.058471,             0.14408,            0.035968,             0.35192,             0.31764,             0.25639,             0.14344,            0.058574,            0.079891,             0.02957,            0.000496,            0.000496,            0.000496
                  98,            0.058199,              0.1456,            0.035394,             0.35718,             0.31794,             0.25672,             0.14397,            0.058553,            0.079873,            0.029537,            0.000397,            0.000397,            0.000397
                  99,             0.05785,             0.14409,            0.035437,             0.37717,             0.31919,             0.25746,             0.14419,            0.058531,            0.079856,            0.029508,            0.000298,            0.000298,            0.000298
